Slice,Count,Total Area,Average Size,%Area,Mean
201708_C08_S1_I3,33,8.622,0.261,4.397,255
201708_C08_S2_I1,43,2.129,0.050,1.086,255
201708_C08_S2_I1,189,28.656,0.152,14.615,255
201708_C08_S2_I2,34,1.353,0.040,0.690,255
201708_C08_S2_I2,155,23.592,0.152,12.032,255
201708_C08_S2_I3,23,1.215,0.053,0.620,255
201708_C08_S2_I3,171,35.479,0.207,18.094,255
201708_C08_S3_I1,17,1.301,0.077,0.663,255
201708_C08_S3_I1,210,36.712,0.175,18.723,255
201708_C08_S3_I2,70,3.182,0.045,1.623,255
201708_C08_S3_I2,213,25.654,0.120,13.084,255
201708_C08_S3_I3,16,1.238,0.077,0.631,255
201708_C08_S3_I3,159,21.415,0.135,10.922,255
201708_C08_S4_I1,85,2.367,0.028,1.207,255
201708_C08_S4_I1,434,36.911,0.085,18.825,255
201708_C08_S4_I2,89,2.284,0.026,1.165,255
201708_C08_S4_I2,470,34.343,0.073,17.515,255
201708_C08_S4_I3,100,2.459,0.025,1.254,255
201708_C08_S4_I3,453,55.179,0.122,28.142,255
201708_C08_S5_I1,38,1.433,0.038,0.731,255
201708_C08_S5_I1,162,27.104,0.167,13.823,255
201708_C08_S5_I2,51,1.582,0.031,0.807,255
201708_C08_S5_I2,221,32.060,0.145,16.351,255
201708_C08_S5_I3,36,1.416,0.039,0.722,255
201708_C08_S5_I3,194,28.797,0.148,14.687,255
201708_C09_S1_I1,29,1.859,0.064,0.948,255
201708_C09_S1_I1,208,32.992,0.159,16.826,255
201708_C09_S1_I2,10,1.516,0.152,0.773,255
201708_C09_S1_I2,123,21.249,0.173,10.837,255
201708_C09_S1_I3,26,1.282,0.049,0.654,255
201708_C09_S1_I3,150,17.637,0.118,8.995,255
201708_C09_S2_I1,38,1.784,0.047,0.910,255
201708_C09_S2_I1,114,16.603,0.146,8.467,255
201708_C09_S2_I2,60,2.812,0.047,1.434,255
201708_C09_S2_I2,122,22.223,0.182,11.334,255
201708_C09_S2_I3,57,2.562,0.045,1.307,255
201708_C09_S2_I3,132,27.000,0.205,13.770,255
201708_C09_S3_I1,20,1.893,0.095,0.966,255
201708_C09_S3_I1,124,18.161,0.146,9.262,255
201708_C09_S3_I2,15,1.050,0.070,0.536,255
201708_C09_S3_I2,123,20.806,0.169,10.611,255
201708_C09_S3_I3,42,2.000,0.048,1.020,255
201708_C09_S3_I3,140,23.392,0.167,11.930,255
201708_C09_S4_I1,77,2.439,0.032,1.244,255
201708_C09_S4_I1,356,50.796,0.143,25.906,255
201708_C09_S4_I2,82,2.008,0.024,1.024,255
201708_C09_S4_I2,278,34.473,0.124,17.582,255
201708_C09_S4_I3,59,1.817,0.031,0.927,255
201708_C09_S4_I3,291,41.733,0.143,21.284,255
201708_C09_S5_I1,39,1.827,0.047,0.932,255
201708_C09_S5_I1,124,31.534,0.254,16.082,255
201708_C09_S5_I2,68,2.138,0.031,1.090,255
201708_C09_S5_I2,254,47.592,0.187,24.272,255
201708_C09_S5_I3,26,1.152,0.044,0.587,255
201708_C09_S5_I3,106,20.524,0.194,10.467,255
201708_C10_S1_I1,24,1.344,0.056,0.686,255
201708_C10_S1_I1,170,29.094,0.171,14.838,255
201708_C10_S1_I2,23,1.679,0.073,0.857,255
201708_C10_S1_I2,105,27.964,0.266,14.262,255
201708_C10_S1_I3,25,1.751,0.070,0.893,255
201708_C10_S1_I3,127,20.360,0.160,10.384,255
201708_C10_S2_I1,65,1.538,0.024,0.785,255
201708_C10_S2_I1,266,22.243,0.084,11.344,255
201708_C10_S2_I2,47,1.042,0.022,0.531,255
201708_C10_S2_I2,272,17.743,0.065,9.049,255
201708_C10_S2_I3,80,1.710,0.021,0.872,255
201708_C10_S2_I3,331,33.547,0.101,17.109,255
201708_C10_S3_I1,18,0.982,0.055,0.501,255
201708_C10_S3_I1,175,26.454,0.151,13.492,255
201708_C10_S3_I2,57,2.035,0.036,1.038,255
201708_C10_S3_I2,140,25.377,0.181,12.943,255
201708_C10_S3_I3,36,1.643,0.046,0.838,255
201708_C10_S3_I3,97,16.977,0.175,8.658,255
201708_C10_S4_I1,71,1.869,0.026,0.953,255
201708_C10_S4_I1,309,33.975,0.110,17.328,255
201708_C10_S4_I2,50,1.387,0.028,0.707,255
201708_C10_S4_I2,271,30.070,0.111,15.336,255
201708_C10_S4_I3,43,1.073,0.025,0.547,255
201708_C10_S4_I3,267,19.947,0.075,10.173,255
201708_C10_S5_I1,33,1.294,0.039,0.660,255
201708_C10_S5_I1,157,22.221,0.142,11.333,255
