 ,Area,Mean,Min,Max
955,0.034,255,255,255
956,0.087,255,255,255
957,0.078,255,255,255
958,0.021,255,255,255
959,0.102,255,255,255
960,0.081,255,255,255
961,0.120,255,255,255
962,0.194,255,255,255
963,0.328,255,255,255
964,0.034,255,255,255
965,0.048,255,255,255
966,0.045,255,255,255
967,0.060,255,255,255
968,0.359,255,255,255
969,0.226,255,255,255
970,0.061,255,255,255
971,0.031,255,255,255
972,0.102,255,255,255
973,0.223,255,255,255
974,0.162,255,255,255
975,0.120,255,255,255
976,3.149,255,255,255
977,0.029,255,255,255
978,0.187,255,255,255
979,0.252,255,255,255
980,0.257,255,255,255
981,0.475,255,255,255
982,0.036,255,255,255
983,0.197,255,255,255
984,0.500,255,255,255
985,0.307,255,255,255
986,0.095,255,255,255
987,0.071,255,255,255
988,0.067,255,255,255
989,0.068,255,255,255
990,0.133,255,255,255
991,0.050,255,255,255
992,0.083,255,255,255
993,0.063,255,255,255
994,0.138,255,255,255
995,0.582,255,255,255
996,0.118,255,255,255
997,0.069,255,255,255
998,0.196,255,255,255
999,1.573,255,255,255
1000,0.112,255,255,255
1001,0.085,255,255,255
1002,0.159,255,255,255
1003,0.073,255,255,255
1004,0.175,255,255,255
1005,0.113,255,255,255
1006,0.019,255,255,255
1007,0.023,255,255,255
1008,0.042,255,255,255
1009,0.091,255,255,255
1010,0.148,255,255,255
1011,0.138,255,255,255
1012,0.321,255,255,255
1013,0.079,255,255,255
1014,0.043,255,255,255
1015,0.017,255,255,255
1016,0.129,255,255,255
1017,0.045,255,255,255
1018,0.128,255,255,255
1019,0.061,255,255,255
1020,0.050,255,255,255
1021,0.123,255,255,255
1022,0.082,255,255,255
1023,0.076,255,255,255
1024,0.919,255,255,255
1025,0.013,255,255,255
1026,0.064,255,255,255
1027,0.192,255,255,255
1028,0.111,255,255,255
1029,0.023,255,255,255
1030,0.283,255,255,255
1031,0.411,255,255,255
1032,0.166,255,255,255
1033,0.044,255,255,255
1034,0.188,255,255,255
1035,0.307,255,255,255
1036,0.038,255,255,255
1037,0.028,255,255,255
1038,0.129,255,255,255
1039,0.077,255,255,255
1040,0.208,255,255,255
1041,0.162,255,255,255
1042,0.335,255,255,255
1043,0.099,255,255,255
1044,0.064,255,255,255
1045,0.496,255,255,255
1046,0.024,255,255,255
1047,0.162,255,255,255
1048,0.098,255,255,255
1049,0.245,255,255,255
1050,0.086,255,255,255
1051,0.112,255,255,255
1052,0.022,255,255,255
1053,0.052,255,255,255
1054,0.040,255,255,255
1055,0.175,255,255,255
1056,0.135,255,255,255
1057,0.079,255,255,255
1058,0.092,255,255,255
1059,0.076,255,255,255
1060,0.140,255,255,255
1061,0.027,255,255,255
1062,0.178,255,255,255
1063,0.150,255,255,255
1064,0.072,255,255,255
1065,0.045,255,255,255
1066,0.080,255,255,255
1067,0.497,255,255,255
1068,0.169,255,255,255
1069,0.192,255,255,255
1070,0.122,255,255,255
1071,0.121,255,255,255
1072,0.023,255,255,255
1073,0.249,255,255,255
1074,0.051,255,255,255
1075,0.443,255,255,255
1076,0.056,255,255,255
1077,0.049,255,255,255
1078,0.041,255,255,255
1079,0.107,255,255,255
1080,0.092,255,255,255
1081,0.129,255,255,255
1082,0.205,255,255,255
1083,0.133,255,255,255
1084,0.099,255,255,255
1085,0.059,255,255,255
1086,0.318,255,255,255
1087,0.196,255,255,255
1088,0.136,255,255,255
1089,0.014,255,255,255
1090,0.017,255,255,255
1091,0.078,255,255,255
1092,0.359,255,255,255
1093,0.022,255,255,255
1094,0.149,255,255,255
1095,0.317,255,255,255
1096,0.095,255,255,255
1097,0.180,255,255,255
1098,0.078,255,255,255
1099,0.061,255,255,255
1100,0.014,255,255,255
1101,0.383,255,255,255
1102,0.081,255,255,255
1103,0.054,255,255,255
1104,0.078,255,255,255
1105,0.117,255,255,255
1106,0.277,255,255,255
1107,0.168,255,255,255
1108,0.040,255,255,255
1109,0.113,255,255,255
1110,0.073,255,255,255
1111,0.061,255,255,255
1112,0.283,255,255,255
1113,0.071,255,255,255
1114,0.133,255,255,255
1115,0.103,255,255,255
1116,0.125,255,255,255
1117,0.731,255,255,255
1118,0.093,255,255,255
1119,0.228,255,255,255
1120,0.110,255,255,255
1121,0.089,255,255,255
1122,0.160,255,255,255
1123,0.158,255,255,255
1124,0.029,255,255,255
1125,0.033,255,255,255
1126,0.090,255,255,255
1127,0.138,255,255,255
1128,0.090,255,255,255
1129,0.078,255,255,255
1130,0.197,255,255,255
1131,0.030,255,255,255
1132,0.014,255,255,255
1133,0.115,255,255,255
1134,0.069,255,255,255
1135,0.016,255,255,255
1136,0.062,255,255,255
1137,0.043,255,255,255
1138,0.018,255,255,255
1139,0.012,255,255,255
1140,0.013,255,255,255
1141,0.026,255,255,255
1142,0.013,255,255,255
1143,0.016,255,255,255
1144,0.016,255,255,255
1145,0.019,255,255,255
1146,0.023,255,255,255
1147,0.024,255,255,255
