control,C2,S1,201409,74.973,15.665,6.211,1.927,0.734,0.275,0.092,0.015,0.031,0.015,0.015,0.015,0.031
control,C2,S2,201409,4.266,9.783,16.069,23.108,33.027,6.979,3.859,1.583,0.995,0.286,0.015,0.015,0.015
control,C2,S3,201409,0.377,1.490,5.289,14.786,33.437,15.687,14.704,8.204,4.634,1.310,0.049,0.016,0.016
control,C2,S4,201409,0.000,0.015,0.031,0.015,7.426,18.404,27.768,20.541,17.605,7.134,0.984,0.062,0.015
control,C2,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
control,C1,S1,201409,7.975,18.171,32.146,29.061,12.047,0.478,0.031,0.015,0.015,0.015,0.015,0.015,0.015
control,C1,S2,201409,0.248,1.800,9.077,33.964,48.441,4.670,0.791,0.450,0.279,0.171,0.093,0.016,0.000
control,C1,S3,201409,0.000,1.096,3.698,13.542,53.073,18.798,7.584,1.575,0.565,0.034,0.017,0.000,0.017
control,C1,S4,201409,0.912,2.964,6.321,9.969,21.990,14.487,16.207,12.166,9.575,4.135,1.026,0.228,0.021
control,C1,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T1,S1,201409,95.420,3.880,0.204,0.102,0.146,0.117,0.015,0.044,0.015,0.015,0.015,0.015,0.015
treatment,T1,S2,201409,0.154,3.307,17.395,52.753,16.518,2.399,1.553,1.184,1.615,1.815,1.107,0.185,0.015
treatment,T1,S3,201409,0.024,0.267,0.848,2.641,10.443,8.069,13.303,15.265,25.006,19.118,4.822,0.194,0.000
treatment,T1,S4,201409,1.829,2.178,7.137,14.387,20.684,10.616,12.152,10.559,10.333,6.203,2.743,0.839,0.339
treatment,T1,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T2,S1,201409,25.056,20.480,23.564,17.351,10.296,1.593,0.796,0.348,0.213,0.202,0.079,0.011,0.011
treatment,T2,S2,201409,0.471,1.094,4.055,16.024,43.970,17.300,10.313,4.040,2.111,0.577,0.015,0.015,0.015
treatment,T2,S3,201409,0.222,0.666,1.406,2.108,7.675,9.673,18.772,20.178,23.026,13.242,2.478,0.351,0.203
treatment,T2,S4,201409,0.238,0.295,1.020,2.504,9.981,9.414,14.614,17.107,26.249,15.668,2.447,0.374,0.091
treatment,T2,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T3,S1,201409,7.157,10.297,16.540,22.760,26.212,6.917,4.343,2.117,2.009,1.311,0.313,0.012,0.012
treatment,T3,S2,201409,0.015,0.179,2.039,8.141,23.411,13.291,13.931,10.701,12.398,10.180,5.239,0.461,0.015
treatment,T3,S3,201409,0.000,0.000,0.021,0.248,3.659,5.272,9.283,11.722,20.447,29.130,17.532,2.460,0.227
treatment,T3,S4,201409,2.301,0.746,2.148,7.092,22.013,13.915,16.557,13.906,12.665,5.133,2.238,0.953,0.333
treatment,T3,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T4,S1,201409,5.512,10.013,23.831,29.355,23.274,4.058,0.822,1.011,0.948,0.784,0.329,0.038,0.025
treatment,T4,S2,201409,0.056,0.538,2.655,9.098,28.741,15.522,13.349,9.265,9.692,8.076,2.878,0.111,0.019
treatment,T4,S3,201409,0.000,0.041,0.203,1.475,8.446,6.957,10.111,10.544,17.691,25.772,15.836,2.748,0.176
treatment,T4,S4,201409,2.102,2.318,5.255,10.265,19.320,9.487,9.948,7.558,7.530,5.931,11.287,5.859,3.138
treatment,T4,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T5,S1,201409,36.990,14.980,14.348,13.085,12.632,3.337,2.169,0.796,0.989,0.439,0.151,0.069,0.014
treatment,T5,S2,201409,0.842,3.227,7.945,16.591,30.972,11.803,9.014,5.770,6.086,5.209,2.385,0.140,0.018
treatment,T5,S3,201409,0.000,0.046,0.106,0.425,2.701,2.807,5.993,8.421,19.982,35.913,19.997,3.247,0.364
treatment,T5,S4,201409,2.335,2.882,6.730,10.736,16.559,9.065,9.742,8.200,8.056,6.600,11.443,6.067,1.585
treatment,T5,S5,201409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
treatment,T6,S1,201409,11.367,13.333,21.126,25.628,19.617,3.958,2.412,1.126,0.804,0.507,0.099,0.012,0.012
treatment,T6,S2,201409,0.000,0.438,3.279,12.741,28.908,12.823,11.784,8.197,9.528,8.310,3.684,0.292,0.016
treatment,T6,S3,201409,0.000,0.015,0.541,1.547,5.603,5.783,11.071,12.708,20.189,28.016,12.964,1.457,0.105
